,gene,comparison,log2fc,pval,padj,mean_logCPM_case,mean_logCPM_ctrl,n_case_samples,n_ctrl_samples,mode
16768,Batf,cre_72h_vs_litt_72h,-0.35454692849206815,0.3894291278240998,0.8932751903536521,4.997956222366976,5.352503150859044,3,3,pseudobulk_mean
16769,Crybb3,cre_72h_vs_litt_72h,1.4487238594891148,0.38946290608985185,0.8932751903536521,4.104859374082079,2.6561355145929646,3,3,pseudobulk_mean
16770,Cd3g,cre_72h_vs_litt_72h,1.8093630912061238,0.38961206789614844,0.8932751903536521,5.079450738994658,3.270087647788534,3,3,pseudobulk_mean
16771,Fzd3,cre_72h_vs_litt_72h,1.7016905399586126,0.3899222892354848,0.8932751903536521,4.720068684374907,3.0183781444162947,3,3,pseudobulk_mean
16772,Rnf10,cre_72h_vs_litt_72h,0.40153418273276387,0.38999732295439615,0.8932751903536521,9.28267654594879,8.881142363216027,3,3,pseudobulk_mean
16773,Scmh1,cre_72h_vs_litt_72h,2.2727507672009413,0.3900206885022584,0.8932751903536521,6.4456096422085425,4.172858875007601,3,3,pseudobulk_mean
16774,Ccar2,cre_72h_vs_litt_72h,0.45634172431301234,0.3907045316862155,0.8932751903536521,8.140132990558829,7.683791266245817,3,3,pseudobulk_mean
16775,Insr,cre_72h_vs_litt_72h,0.4906745864176134,0.39094740740918255,0.8932751903536521,6.708440562066133,6.217765975648519,3,3,pseudobulk_mean
16776,Rab43,cre_72h_vs_litt_72h,-0.3606077459608734,0.391162672679158,0.8932751903536521,5.558646287555349,5.919254033516222,3,3,pseudobulk_mean
16777,Cntrob,cre_72h_vs_litt_72h,1.924351915586533,0.3913300344107444,0.8932751903536521,5.345149106349069,3.4207971907625363,3,3,pseudobulk_mean
16778,Plp2,cre_72h_vs_litt_72h,2.3003893442170913,0.39156910440587817,0.8932751903536521,6.496474748685174,4.196085404468083,3,3,pseudobulk_mean
16779,Grm8,cre_72h_vs_litt_72h,-0.9985864625775966,0.3916020685672925,0.8932751903536521,2.3181180638894343,3.316704526467031,3,3,pseudobulk_mean
16780,Ephx2,cre_72h_vs_litt_72h,0.8831863005796254,0.39189832858707324,0.8932751903536521,7.2816828229699295,6.398496522390304,3,3,pseudobulk_mean
16781,Atg5,cre_72h_vs_litt_72h,0.4606689796021559,0.3920974083299318,0.8932751903536521,6.198312031647453,5.737643052045297,3,3,pseudobulk_mean
16782,Cep104,cre_72h_vs_litt_72h,-0.754638683342193,0.3922004449898969,0.8932751903536521,3.7457628682531285,4.5004015515953215,3,3,pseudobulk_mean
16783,Prune1,cre_72h_vs_litt_72h,-0.32475851893032726,0.3922289837987833,0.8932751903536521,4.990283757420747,5.3150422763510745,3,3,pseudobulk_mean
16784,Hoxa3,cre_72h_vs_litt_72h,1.3391494501265262,0.3924109091376578,0.8932751903536521,3.7483600218238826,2.4092105716973564,3,3,pseudobulk_mean
16785,Cd81,cre_72h_vs_litt_72h,-0.3571569985881897,0.39272236761695734,0.8932751903536521,8.943385084077772,9.300542082665961,3,3,pseudobulk_mean
16786,Prdm9,cre_72h_vs_litt_72h,0.2448497971024004,0.392837026421952,0.8932751903536521,6.376961238629974,6.132111441527574,3,3,pseudobulk_mean
16787,Impact,cre_72h_vs_litt_72h,-0.1809186491904171,0.39325172818487897,0.8932751903536521,8.161814351825582,8.342733001015999,3,3,pseudobulk_mean
16788,Ptpru,cre_72h_vs_litt_72h,1.943687043704132,0.3935132993610427,0.8932751903536521,5.484134870660593,3.5404478269564605,3,3,pseudobulk_mean
16789,Itsn2,cre_72h_vs_litt_72h,-0.266415327674153,0.39370950606177213,0.8932751903536521,9.56200653959691,9.828421867271063,3,3,pseudobulk_mean
16790,Aif1l,cre_72h_vs_litt_72h,2.555741465692937,0.39426800609032614,0.8932751903536521,7.298766529543916,4.743025063850979,3,3,pseudobulk_mean
16791,Lipe,cre_72h_vs_litt_72h,2.6632010502199774,0.3945390201807187,0.8932751903536521,7.6053798314409455,4.942178781220968,3,3,pseudobulk_mean
16792,Sirt1,cre_72h_vs_litt_72h,0.3209185938303465,0.39489433884544556,0.8932751903536521,7.289329604984921,6.968411011154575,3,3,pseudobulk_mean
16793,Ilf2,cre_72h_vs_litt_72h,0.5894724268934048,0.3949037366201387,0.8932751903536521,7.50833337451238,6.918860947618975,3,3,pseudobulk_mean
16794,Cul4a,cre_72h_vs_litt_72h,0.16790783146076382,0.39494470382119135,0.8932751903536521,7.6094834862428264,7.441575654782063,3,3,pseudobulk_mean
16795,Pgpep1,cre_72h_vs_litt_72h,1.9126917718076197,0.395021418739836,0.8932751903536521,5.456834869118524,3.544143097310904,3,3,pseudobulk_mean
16796,En1,cre_72h_vs_litt_72h,1.8093460700105508,0.39510722446938595,0.8932751903536521,5.177806850265418,3.3684607802548676,3,3,pseudobulk_mean
16797,Tbx21,cre_72h_vs_litt_72h,1.3972220375581035,0.3953752084345225,0.8932751903536521,3.939987509882407,2.5427654723243034,3,3,pseudobulk_mean
16798,F9,cre_72h_vs_litt_72h,1.2488004323450541,0.39537942839979157,0.8932751903536521,2.3494974435926745,1.1006970112476204,3,3,pseudobulk_mean
